-1 1:0.000000 2:0.067519 3:0.071134 4:0.276291 5:0.204670 6:0.285385 7:0.344743 8:0.288704 9:0.929498 
-1 1:0.112227 2:0.106101 3:0.055890 4:0.108544 5:0.268019 6:0.168174 7:0.162522 8:0.567098 9:0.884840 
-1 1:0.296018 2:0.215277 3:0.022680 4:0.198209 5:0.282780 6:0.090992 7:0.153885 8:0.276152 9:0.842558 
-1 1:0.304097 2:0.047916 3:0.000000 4:0.073529 5:0.338914 6:0.379746 7:0.122328 8:0.281719 9:0.973940 
-1 1:0.087288 2:0.412614 3:0.173880 4:0.084423 5:0.291842 6:0.000000 7:0.379217 8:0.088216 9:0.741855 
-1 1:0.287680 2:0.083685 3:0.132247 4:0.406655 5:0.169116 6:0.110537 7:0.149551 8:0.201281 9:0.922591 
-1 1:0.248080 2:0.273629 3:0.247093 4:0.239938 5:0.118492 6:0.082612 7:0.239506 8:0.083573 9:1.066089 
-1 1:0.362578 2:0.000000 3:0.421325 4:0.409124 5:0.115454 6:0.060371 7:0.058342 8:0.122144 9:1.096934 
-1 1:0.049099 2:0.139257 3:0.244519 4:0.617339 5:0.234517 6:0.049051 7:0.189608 8:0.000000 9:0.844357 
-1 1:0.112227 2:0.282935 3:0.111781 4:0.325630 5:0.428830 6:0.037373 7:0.000000 8:0.226839 9:0.571855 
-1 1:0.372120 2:0.351807 3:0.041182 4:0.039990 5:0.236986 6:0.206529 7:0.119752 8:0.167144 9:0.606448 
-1 1:0.339713 2:0.040146 3:0.000000 4:0.164281 5:0.000000 6:0.084844 7:0.163985 8:0.772479 9:0.965357 
-1 1:0.299271 2:0.707337 3:0.149040 4:0.361810 5:0.000000 6:0.000000 7:0.000000 8:0.000000 9:1.173253 
-1 1:0.000000 2:0.061893 3:0.130410 4:0.379901 5:0.375227 6:0.261604 7:0.252812 8:0.066162 9:1.165305 
